Plant,PlantURL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Category
Balloon Flower Seeds,https://www.theseedcollection.com.au/all-products?gn=Balloon Flower Seeds&gg=2349,0,0,0,0,0,0,0,0,1,1,1,0,flower
Bearded Iris Rhizomes,https://www.theseedcollection.com.au/all-products?gn=Bearded Iris Rhizomes&gg=2912,0,1,1,1,1,1,1,1,1,0,0,0,flower
Belladonna Lily Bulbs,https://www.theseedcollection.com.au/all-products?gn=Belladonna Lily Bulbs&gg=2913,1,1,1,1,0,0,0,0,0,0,0,0,flower
Billy Buttons Seeds,https://www.theseedcollection.com.au/all-products?gn=Billy Buttons Seeds&gg=2478,1,1,1,1,1,0,0,0,1,1,1,1,flower
Black Eyed Susan Seeds,https://www.theseedcollection.com.au/all-products?gn=Black Eyed Susan Seeds&gg=2473,0,0,0,0,0,0,0,0,1,1,1,1,flower
Bluebell Bulbs,https://www.theseedcollection.com.au/all-products?gn=Bluebell Bulbs&gg=2626,0,0,1,1,1,1,0,0,0,0,0,0,flower
Bottle Tree Seeds,https://www.theseedcollection.com.au/all-products?gn=Bottle Tree Seeds&gg=2500,0,1,1,1,0,0,0,0,1,1,1,0,flower
Brachyscome Seeds,https://www.theseedcollection.com.au/all-products?gn=Brachyscome Seeds&gg=2234,0,0,0,0,0,0,0,0,1,1,1,1,flower
Butterfly Bush Seeds,https://www.theseedcollection.com.au/all-products?gn=Butterfly Bush Seeds&gg=2422,0,0,0,0,0,0,0,0,1,1,1,0,flower
Californian Poppy Seeds,https://www.theseedcollection.com.au/all-products?gn=Californian Poppy Seeds&gg=2241,1,0,0,0,0,0,0,0,1,1,1,1,flower
Campanula Seeds,https://www.theseedcollection.com.au/all-products?gn=Campanula Seeds&gg=2350,0,0,1,1,1,0,0,0,1,1,1,0,flower
Candytuft Seeds,https://www.theseedcollection.com.au/all-products?gn=Candytuft Seeds&gg=2242,0,1,1,1,0,0,0,0,1,1,1,0,flower
Canterbury Bells Seeds,https://www.theseedcollection.com.au/all-products?gn=Canterbury Bells Seeds&gg=2351,0,0,1,1,1,0,0,0,1,1,1,0,flower
Carnation Seeds,https://www.theseedcollection.com.au/all-products?gn=Carnation Seeds&gg=2244,0,1,1,1,1,0,0,1,1,1,0,0,flower
