id,name,address,lat,lng
368,Joy of the Earth Community Garden,"Willis Street, Frankston, Frankston North, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1441954,145.1303661
369,Koo Wee Rup Men's Shed and Community Garden,"Koo Wee Rup, Melbourne, Shire of Cardinia, Victoria, 3981, Australia",-38.1993603,145.4906992
370,Kyneton Community Garden,"Epping Street, Kyneton, Shire of Macedon Ranges, Victoria, 3444, Australia",-37.2519931,144.4621221
371,Jolimont Community Garden,"Jolimont Road, Forest Hill, Vermont South, Melbourne, City of Whitehorse, Victoria, 3133, Australia",-37.8442442,145.1816443
363,Bellfield Community Garden,"Oriel Road, Bellfield, Heidelberg West, Melbourne, City of Banyule, Victoria, 3081, Australia",-37.7530201,145.0393449
364,King St Community Garden,"King Street, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia",-37.8499486,144.995392
365,Kensington Community Garden,"Kensington Community Garden, Cornish Lane, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.793818,144.9206407
366,Kensington Stockyard Food Garden,"Serong Street, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.7885861,144.9250568
368,Joy of the Earth Community Garden,"Willis Street, Frankston, Frankston North, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1441954,145.1303661
369,Koo Wee Rup Men's Shed and Community Garden,"Koo Wee Rup, Melbourne, Shire of Cardinia, Victoria, 3981, Australia",-38.1993603,145.4906992
370,Kyneton Community Garden,"Epping Street, Kyneton, Shire of Macedon Ranges, Victoria, 3444, Australia",-37.2519931,144.4621221
371,Jolimont Community Garden,"Jolimont Road, Forest Hill, Vermont South, Melbourne, City of Whitehorse, Victoria, 3133, Australia",-37.8442442,145.1816443
363,Bellfield Community Garden,"Oriel Road, Bellfield, Heidelberg West, Melbourne, City of Banyule, Victoria, 3081, Australia",-37.7530201,145.0393449
364,King St Community Garden,"King Street, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia",-37.8499486,144.995392
365,Kensington Community Garden,"Kensington Community Garden, Cornish Lane, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.793818,144.9206407
366,Kensington Stockyard Food Garden,"Serong Street, Kensington, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia",-37.7885861,144.9250568
368,Joy of the Earth Community Garden,"Willis Street, Frankston, Frankston North, Melbourne, City of Frankston, Victoria, VIC, Australia",-38.1441954,145.1303661
369,Koo Wee Rup Men's Shed and Community Garden,"Koo Wee Rup, Melbourne, Shire of Cardinia, Victoria, 3981, Australia",-38.1993603,145.4906992
370,Kyneton Community Garden,"Epping Street, Kyneton, Shire of Macedon Ranges, Victoria, 3444, Australia",-37.2519931,144.4621221
371,Jolimont Community Garden,"Jolimont Road, Forest Hill, Vermont South, Melbourne, City of Whitehorse, Victoria, 3133, Australia",-37.8442442,145.1816443
363,Bellfield Community Garden,"Oriel Road, Bellfield, Heidelberg West, Melbourne, City of Banyule, Victoria, 3081, Australia",-37.7530201,145.0393449
364,King St Community Garden,"King Street, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia",-37.8499486,144.995392
375,Mary and Basil Organic Community Garden,"Danks Street, Middle Park, St Kilda West, Melbourne, City of Port Phillip, Victoria, 3182, Australia",-37.8508895,144.9584813
376,Maidstone Community Garden,"Yardley Street, Maidstone, Melbourne, City of Maribyrnong, Victoria, 3019, Australia",-37.7889612,144.8686156
377,Long Gully Community Garden,"Energetic Street, Ironbark, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia",-36.7522514,144.2579693
